Name,ratings,location,description,open_hours,Opened,Closed,phone_number,Picture
Cafe TGC Bali,4.6,"Jl. Bumbak Dauh, Kerobokan, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",· Makan di tempat · Ambil di tepi jalan · Antar tanpa bertemu,07.00–22.00,07.00,22.00,0812-1323-1456,https://lh5.googleusercontent.com/p/AF1QipNpoqmN2k6vL4AL6KMErVVAagJgWIm3eh-_KcMQ=w408-h306-k-no
Level Up - Board Game Cafe,4.6,"Jl. Drupadi No.99L, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361",· Makan di tempat · Bawa pulang · Antar tanpa bertemu,09.00–21.00,09.00,21.00,0882-1905-6262,https://lh5.googleusercontent.com/p/AF1QipNHyYOSmt2Ws_Fe0zVmjgxEMO4jiGF34RhKDIir=w408-h306-k-no
The Bustle Cafe,4.6,"Jl. Dewi Sri II No.23, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361",· Makan di tempat · Bawa pulang,08.00–20.00,08.00,20.00,0819-1352-1689,https://lh5.googleusercontent.com/p/AF1QipMBULUXiFshdMISJnvB04TWaVdaTxms9z5P819s=w408-h544-k-no
Canvas Cafe,4.8,"Jl. Hang Tuah No.45, Sanur Kaja, Denpasar Selatan, Kota Denpasar, Bali 80227",· Makan di tempat · Bawa pulang · Antar tanpa bertemu,07.00–22.00,07.00,22.00,0813-5385-7878,https://lh5.googleusercontent.com/p/AF1QipOf2-JcgdpvoUSBkxaZWAanUVE2QnzH1VajBPvh=w408-h510-k-no
Milk & Madu Canggu,4.5,"Jl. Pantai Batu Bolong No.92, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",· Makan di tempat · Bawa pulang · Antar tanpa bertemu,07.00–22.00,07.00,22.00,0813-5389-6153,https://lh5.googleusercontent.com/p/AF1QipMcxFfzXfKhAtUUA3hiQ3Cf-9eEgfZhIRlCCS5p=w408-h612-k-no
Milk & Madu Berawa,4.6,"Jl. Pantai Berawa No.52, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali 80361","Burger, pizza & makanan rumahan lainnya di kafe terbuka bernuansa santai yang menawarkan menu anak-anak.
·
Makan di tempat
·
Bawa pulang
·
Antar tanpa bertemu",07.00–22.00,07.00,22.00,0851-0278-1872,https://lh5.googleusercontent.com/p/AF1QipMc5dr1VTGoliU-UfDHksVnK16sTQgJGw8Hvpwm=w408-h272-k-no
Downtime Cafe,4.7,"Jl. Gn. Tangkuban Perahu No.8E, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",· Makan di tempat · Bawa pulang · Antar tanpa bertemu,08.00–21.00,08.00,21.00,0813-3827-8756,https://lh5.googleusercontent.com/p/AF1QipPH8fsm2QIK2cuYmR2nX4sRjq9k4nNFzY0n5IEH=w408-h306-k-no
Kopi & Kue,4.1,"Bali Garden Beach Resort, Jl. Kartika Plaza, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361",· Makan di tempat · Bawa pulang,08.00–21.00,08.00,21.00,(0361)752725,https://lh5.googleusercontent.com/p/AF1QipNQ0jruwtxTZgzqdSye4ESfzATO2KY-kJ_K6q8=s457-k-no
The Dusty Cafe,4.3,"Jl. Camplung Tanduk No.4, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361",· Makan di tempat · Bawa pulang,08.30–22.00,08.30,22.00,0821-4645-2051,https://lh5.googleusercontent.com/p/AF1QipMOPkwbMTDFr-YOiUYq-NcYViwzJ2fGr6cw-Lcq=w408-h279-k-no
Obelix Cafe,4.9,"Jl. Dewi Saraswati No.4, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361",· Makan di tempat · Bawa pulang · Pesan antar,11.00–02.00,11.00,02.00,0822-4504-4616,https://lh5.googleusercontent.com/p/AF1QipOGnTRBAmF1qR4u5iwEkl_HQN0YD0e_j4n0REo9=w408-h306-k-no
