Name,Budget,Lokasi,Rating,Picture
Candi Beach Resort and Spa,7437221.00,"Mendira Beach Sengkidu Candi Dasa Kecamatan Karangasem, Candidasa, Karangasem, Bali, Indonesia, 80033",4.40,https://drive.google.com/file/d/1eTvfW_VwWKhXN7p1wG_No2ATrerUcqc9/view?usp=sharing
Swiss-Belinn Legian,615000.00,"Jalan Padma Utara, Legian, Legian, Kuta, Bali, Indonesia, 80361",4.25,https://drive.google.com/file/d/1ePEBWYGm7X-8lsyoI4VDA2VOa-tScJmo/view?usp=sharing
Novotel Bali Ngurah Rai Airport,1299999.00,"Jalan Airport Ngurah Rai, Tuban, Kuta, Tuban, Kuta, Bali, Indonesia, 80362",4.35,https://drive.google.com/file/d/1Qrt39z6QPYFQF4yxo9YbFTTGV9Tws7F3/view?usp=sharing
The Yani Hotel,228561.00,"Jalan By Pass Ngurah Rai Pesanggaran 660, Denpasar Selatan, Denpasar, Bali, Indonesia, 80222",4.05,https://drive.google.com/file/d/1bMroS5uXG9HmuFn2UyMZd7yJ3HMay--S/view?usp=sharing
Horison Le Aman ,318240.00,"Jl. Bypass Ngurah Rai No.50, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali, Jimbaran, Kuta Selatan, Bali, Indonesia, 80361",4.30,https://drive.google.com/file/d/1KQA6i3H-uB74IlyPARlZ5hXjIBTK1uSX/view?usp=sharing
Scala Bed and Beyond,388450.00,"Jalan Bimasena No 8 Br Anyar, Canggu, Kuta Utara, Bali, Indonesia, 80361",4.30,https://drive.google.com/file/d/1mC1KbWx7ZawkqnW6-x_tfdUt5ZF2NHb2/view?usp=sharing
dprimahotel Seminyak,565250.00,"Jl. Kayu Jati no.16, Seminyak, Seminyak, Kuta, Bali, Indonesia, 80361",4.15,https://drive.google.com/file/d/197TcB4p8m4gMD-K9MLSzuDaSNX6OxJsf/view?usp=sharing
ABISHA Resort Jimbaran,369093.00,"Jalan Raya Kampus Unud, Kuta Selatan, Jimbaran, Kuta Selatan, Bali, Indonesia, 80364",4.25,https://drive.google.com/file/d/1r4hBkAyCX2MnrrpqUSZosRhapuRl4mmx/view?usp=sharing
Tapa Tepi Kali Canggu by Pramana,1142683.00,"Jalan Padang Linjong, Canggu, Kuta Utara, Canggu, Kuta Utara, Bali, Indonesia, 80351",4.30,https://drive.google.com/file/d/1JoFjJyt_Nczg50iiRnTAuNxCXW5TqnQ0/view?usp=sharing
Brits Resort Lovina,853927.00,"Jalan Raya Singaraja - Lovina, Lovina, Buleleng, Bali, Indonesia, 81101",4.40,https://drive.google.com/file/d/1TM81LmzfluZVVHvsb0fYCZA0Qcu_0jpt/view?usp=sharing
7 Bidadari Seminyak,425000.00,"Jl. Bidadari IV No. 7, Seminyak, Seminyak, Kuta, Bali, Indonesia, 80361",4.35,https://drive.google.com/file/d/1pNdRbCCfGr4A8JpPjjlhEzZRS2B-Q3PA/view?usp=sharing
Titik Dua,2006720.00,"Jl. Tjok Rai Pudak no.48, Peliatan, Ubud. Gianyar, Ubud, Gianyar, Bali, Indonesia, 80571",4.55,https://drive.google.com/file/d/1vMDIJhgru1VAM9m8oTVmXXr7ZvM4oN9C/view?usp=sharing
The Nest Hotel Nusa Dua,1119887.00,"Jalan Pratama 99X , Nusa Dua - Bali, Nusa Dua, Tanjung Benoa, Bali, Indonesia, 80363",4.40,https://drive.google.com/file/d/14cpGZ-oqd9Bt5vuAdKDqnYDwz3NpSs3G/view?usp=sharing
RedDoorz Plus @ Sunrise Hotel Sanur,209648.00,"Jl. By Pass Ngurah Rai, No.119, Sanur, Kecamatan Denpasar Selatan, Sanur, Bali, Indonesia, 80227",3.90,https://drive.google.com/file/d/1w6m9kYQO4TQgt4bEcXdjG8iUJh-X8unQ/view?usp=sharing
ASTON Canggu Beach Resort,2072400.00,"Jalan Pantai Batu Bolong No.99, Canggu, Kuta Utara, Bali, Canggu, Kuta Utara, Bali, Indonesia, 80361",4.25,https://drive.google.com/file/d/1hSDph23EoRzZrnJxXL248VhlBfQITLIs/view?usp=sharing
The Aromas of Bali Hotel & Residence,240000.00,"Jl Legian 191, Legian, Kuta, Bali, Indonesia, 80361",3.80,https://drive.google.com/file/d/1Jg4aqNdrna1CFYNi0MAUlRy7tMmEFBSC/view?usp=sharing
Coco De Heaven,200232.00,"Jalan Bypass Ngurah Rai No 17x Kelan Jimbaran, Jimbaran, Kuta Selatan, Bali, Indonesia, 80361",4.05,https://drive.google.com/file/d/1seqFurruwU3LDhU3Ydk0eYnle0Cuu8SZ/view?usp=sharing
Restu Bali Hotel,308295.00,"Jalan Raya Legian No.113, Legian, Kuta, Bali, Indonesia, 80361",4.20,https://drive.google.com/file/d/1IFnoBoWSfQoXFNS-s0QGL78GR7-d_MLr/view?usp=sharing
Nikhila Seminyak Bali,543543.00,"Jalan Cendrawasih NO. 28 Seminyak, Kerobokan Kelod, Kec. Kuta Utara, Badung, Bali 80361, Indonesia, Seminyak, Kuta, Bali, Indonesia, 80361",4.25,https://drive.google.com/file/d/1pOJZXvbSJ1NmYc__HimH_kuN8HZ9qn3_/view?usp=sharing
SPOT ON 2426 Hotel Aget Jaya Ii,78107.00,"Jl. Dewi Madri VIII No.5, Panjer, Bali, Denpasar Selatan, Denpasar, Bali, Indonesia, 80361",3.65,https://drive.google.com/file/d/1W3i1NMtLqDSvqpbXg3WZUOs69lmdvBhJ/view?usp=sharing
Jumana Bali Ungasan Resort Managed by Hilton,7648410.00,"Jl. Melasti, Banjar Kelod, Ungasan, Uluwatu, Kuta Selatan, Bali, Indonesia, 80364",4.40,https://drive.google.com/file/d/1im-sDBMskX5D2beyhwoQgmID9MjHh3I0/view?usp=sharing
Bakung Sari Resort and Spa,191250.00,"Jalan Kubu Anyar, Kuta, Badung, Bali, Indonesia, 80361",4.00,https://drive.google.com/file/d/1ieiEl2nVOOYwyXFCXO11pcwexwuimooU/view?usp=sharing
Nyanyi Sanctuary Villa by Ini Vie Hospitality,1093950.00,"Jl. Pantai Nyanyi no 8x, Beraban, Kec. Kediri, Kabupaten Tabanan, Bali 80351, Tanah Lot, Tabanan, Bali, Indonesia, 80351",4.30,https://drive.google.com/file/d/11GTezLmNgWqM0UR520-g4G-yk53uHDdn/view?usp=sharing
